         ns       /testbench/out_x          /testbench/out_z      
          delta                /testbench/out_y                   
          0  +0                  x            x            x 
      12710  +2            7291309     11369254     18532644 
      12730  +2            7450603     11618941     18648410 
      12750  +2            7613428     11870865     18776647 
      12770  +2            7779734     12124665     18917741 
      12790  +2            7949457     12379941     19072075 
      12810  +2            8122522     12636252     19240027 
      12830  +2            8298839     12893113     19421967 
      12850  +2            8478302     13149993     19618253 
      12870  +2            8660789     13406314     19829227 
      12890  +2            8846161     13661450     20055213 
      12910  +2            9034258     13914723     20296511 
      12930  +2            9224901     14165406     20553392 
      12950  +2            9417889     14412719     20826094 
      12970  +2            9612999     14655830     21114816 
      12990  +2            9809984     14893855     21419713 
      13010  +2           10008572     15125858     21740887 
      13030  +2           10208465     15350854     22078384 
      13050  +2           10409339     15567810     22432186 
      13070  +2           10610841     15775648     22802203 
      13090  +2           10812591     15973249     23188267 
      13110  +2           11014179     16159456     23590125 
      13130  +2           11215166     16333082     24007433 
      13150  +2           11415084     16492915     24439747 
      13170  +2           11613436     16637726     24886519 
      13190  +2           11809697     16766278     25347089 
      13210  +2           12003313     16877336     25820681 
      13230  +2           12193704     16969678     26306399 
      13250  +2           12380265     17042106     26803223 
      13270  +2           12562368     17093459     27310006 
      13290  +2           12739363     17122630     27825474 
      13310  +2           12910584     17128576     28348228 
      13330  +2           13075349     17110335     28876744 
      13350  +2           13232965     17067043     29409380 
      13370  +2           13382733     16997946     29944380 
      13390  +2           13523952     16902420     30479884 
      13410  +2           13655923     16779980     31013940 
      13430  +2           13777956     16630300     31544514 
      13450  +2           13889375     16453220     32069506 
      13470  +2           13989525     16248761     32586770 
      13490  +2           14077776     16017132     33094129 
      13510  +2           14153532     15758739     33589397 
      13530  +2           14216235     15474188     34070403 
